Source,Year,Race,Indicator,Value
Vera Incarceration Trends,2011,Black,Prison Population Rate,3149.36
Vera Incarceration Trends,2010,Black,Prison Population Rate,3217.18
Vera Incarceration Trends,2018,White,Jail Population Rate,176.24
Vera Incarceration Trends,2017,White,Jail Population Rate,200.88
Vera Incarceration Trends,2016,White,Jail Population Rate,200.52
Vera Incarceration Trends,2015,White,Jail Population Rate,203.09
Vera Incarceration Trends,2014,White,Jail Population Rate,218.2
Vera Incarceration Trends,2013,White,Jail Population Rate,208.98
Vera Incarceration Trends,2012,White,Jail Population Rate,207.46
Vera Incarceration Trends,2011,White,Jail Population Rate,191.21
Vera Incarceration Trends,2010,White,Jail Population Rate,200.9
Vera Incarceration Trends,2018,White,Prison Population Rate,-
Vera Incarceration Trends,2017,White,Prison Population Rate,-
Vera Incarceration Trends,2016,White,Prison Population Rate,225.79
Vera Incarceration Trends,2015,White,Prison Population Rate,216.58
Vera Incarceration Trends,2014,White,Prison Population Rate,214.54
Vera Incarceration Trends,2013,White,Prison Population Rate,213.1
Vera Incarceration Trends,2012,White,Prison Population Rate,209.55
Vera Incarceration Trends,2011,White,Prison Population Rate,225.34
Vera Incarceration Trends,2010,White,Prison Population Rate,211.8
CHR Ranked Measures,2017,Black,% Children in Poverty - Black,48.953
CHR Ranked Measures,2017,White,% Children in Poverty - White,12.508
CHR Ranked Measures,2021,Black,% Children in Poverty,47.182
CHR Ranked Measures,2020,Black,% Children in Poverty,48.177
CHR Ranked Measures,2019,Black,% Children in Poverty,49.319
CHR Ranked Measures,2018,Black,% Children in Poverty,50.241
CHR Ranked Measures,2021,White,% Children in Poverty,11.185
CHR Ranked Measures,2020,White,% Children in Poverty,11.769
CHR Ranked Measures,2019,White,% Children in Poverty,11.397
CHR Ranked Measures,2018,White,% Children in Poverty,11.637
CHR Ranked Measures,2017,Black,% Drive Alone - Black,59.584
CHR Ranked Measures,2021,Black,% Drive Alone,62.395
CHR Ranked Measures,2020,Black,% Drive Alone,59.55
CHR Ranked Measures,2019,Black,% Drive Alone,59.638
CHR Ranked Measures,2018,Black,% Drive Alone,60.228
CHR Ranked Measures,2021,White,% Drive Alone,84.237
CHR Ranked Measures,2020,White,% Drive Alone,84.474
CHR Ranked Measures,2019,White,% Drive Alone,84.08
CHR Ranked Measures,2018,White,% Drive Alone,83.889
CHR Ranked Measures,2021,Black,% LBW,12.866
CHR Ranked Measures,2020,Black,% LBW,12.373
CHR Ranked Measures,2021,White,% LBW,6.467
CHR Ranked Measures,2020,White,% LBW,6.551
CHR Ranked Measures,2021,Black,Teen Birth Rate,39.362
CHR Ranked Measures,2020,Black,Teen Birth Rate,42.882
CHR Ranked Measures,2019,Black,Teen Birth Rate,46.551
CHR Ranked Measures,2018,Black,Teen Birth Rate,49.656
CHR Ranked Measures,2021,White,Teen Birth Rate,9.251
CHR Ranked Measures,2020,White,Teen Birth Rate,10.525
CHR Ranked Measures,2019,White,Teen Birth Rate,11.586
CHR Ranked Measures,2018,White,Teen Birth Rate,12.81
CHR Ranked Measures,2018,Black,Years of Potential Life Lost Rate,11010.448
CHR Ranked Measures,2018,White,Years of Potential Life Lost Rate,5522.915
CHR Ranked Measures,2021,Black,YPLL Rate,11636.068
CHR Ranked Measures,2020,Black,YPLL Rate,11841.669
CHR Ranked Measures,2019,Black,YPLL Rate,12028.893
CHR Ranked Measures,2021,White,YPLL Rate,5638.694
CHR Ranked Measures,2020,White,YPLL Rate,5815.619
CHR Ranked Measures,2019,White,YPLL Rate,5793.515
